JW_ID	Locustag K-12	Locustag MG1655	Gene name K-12	Locus name K-12	Synonyms of locus names K-12	Solubility(%)	yield_new(uM)	yield_new(ug/ml)	calculated MW(kDa)	calculated pI	Type of gene product	Gene product description	Cell location	Structure (PDB) id	SCOP assignment
JW1920	ECK1933	b1935	yedM	yedM		17 	1.8 	24 	13.4 	6.0 	o	conserved protein	Cytoplasmic		
JW1921	ECK1935	b1937	fliE	fliE	flaN -!- fla AI -!- flaAI	62 	2.7 	30 	11.1 	7.4 	s	flagellar basal-body component	Cytoplasmic		
JW1926	ECK1940	b1942	fliJ	fliJ	flaO	90 	0.6 	10 	17.3 	9.0 	s	flagellar protein	Cytoplasmic		
JW1928	ECK1942	b1944	fliL	fliL	flaAI -!- cheC1 -!- cheC2 -!- fla AI -!- fla QI -!- flaAII -!- flaQII -!- flaQI	35 	2.1 	36 	17.2 	9.7 	s	flagellar biosynthesis protein	Outer Membrane Lipoprotein		
JW1930	ECK1944	b1946	fliN	fliN	motD	108 	1.8 	27 	14.8 	5.3 	cp	flagellar motor switching and energizing component	Cytoplasmic		
JW5316	ECK1945	b1947	fliO	fliO	flbD -!- flpD	15 	2.2 	28 	12.7 	11.4 	s	flagellar biosynthesis protein	Membrane Anchored		
JW1933	ECK1947	b1949	fliQ	fliQ	flaQ	31 	0.5 	5 	9.6 	8.2 	s	flagellar biosynthesis protein	Integral Membrane Protein		
JW1953	ECK1966	b1970	yedX	yedX		78 	1.5 	23 	15.4 	9.8 	d	conserved protein	Periplasmic		49472; Transthyretin (prealbumin)
JW1946	ECK1961	b1963	yedR	yedR		43 	0.6 	8 	13.8 	10.0 	pm	predicted inner membrane protein	Integral Membrane Protein		
JW1964	ECK1978	b1983	yeeN	yeeN		66 	0.7 	18 	25.8 	5.0 	d	conserved protein	Cytoplasmic		
JW1984	ECK1995	b2002	yeeS	yeeS		66 	0.9 	14 	16.5 	9.1 	h	CP4-44 prophage; predicted DNA repair protein	Cytoplasmic		
JW1985	ECK1996	b2003	yeeT	yeeT		23 	6.0 	50 	8.4 	10.8 	h	CP4-44 prophage; predicted protein	Cytoplasmic		
JW1986	ECK1997	b2004	yeeU	yeeU		83 	0.8 	11 	13.7 	6.7 	h	CP4-44 prophage; antitoxin of the YeeV-YeeU toxin-antitoxin system	Cytoplasmic		
JW1987	ECK1998	b2005	yeeV	yeeV		92 	0.7 	9 	13.9 	8.6 	h	CP4-44 prophage; toxin of the YeeV-YeeU toxin-antitoxin system	Cytoplasmic		
JW1989	ECK2001	b2007	yeeX	yeeX		9 	1.3 	20 	15.1 	9.8 	o	conserved protein	Cytoplasmic		
JW1991	ECK2003	b2009	sbmC	sbmC	gyrI -!- yeeB -!- dgi	133 	1.4 	25 	18.1 	5.3 	r	DNA gyrase inhibitor	Cytoplasmic	1JYH	
JW5835	ECK2012	b2017	yefM	yefM		84 	6.0 	55 	9.3 	6.8 	f	antitoxin of the YoeB-YefM toxin-antitoxin system	Cytoplasmic		
JW2016	ECK2025	b2031	wbbL	wbbL_1	yefJ	55 	0.5 	10 	18.2 	7.0 	su	"lipopolysaccharide biosynthesis protein, N-ter fragment (pseudogene)"	Cytoplasmic		
JW2046	ECK2055	b2061	wzb	wzb		25 	1.7 	28 	16.7 	8.0 	e	protein-tyrosine phosphatase	Cytoplasmic		52788; Phosphotyrosine protein phosphatases I
JW2056	ECK2065	b2071	yegJ	yegJ		79 	1.3 	23 	17.4 	6.6 	o	predicted protein	Periplasmic		
JW5340	ECK2083	b2087	gatR	gatR_1		24 	1.1 	18 	15.8 	7.9 	su	"DNA-binding transcriptional regulator, N-ter fragment (pseudogene)"	Cytoplasmic		
JW2074	ECK2083	b2090	gatR	gatR_2		91 	4.4 	54 	12.4 	9.9 	su	"DNA-binding transcriptional regulator, C-ter fragment (pseudogene)"	Cytoplasmic		
JW2078	ECK2087	b2094	gatA	gatA		72 	1.3 	16 	12.2 	6.8 	t	galactitol-specific enzyme IIA component of PTS	Cytoplasmic		
JW2081	ECK2087	b2094	gatA	gatA		14 	2.3 	26 	11.6 	7.5 	t	galactitol-specific enzyme IIA component of PTS	Cytoplasmic		
JW2995	ECK3018	b3027	ygiZ	ygiZ		27 	1.2 	15 	13.2 	8.2 	pm	conserved inner membrane protein	Integral Membrane Protein		
JW5426	ECK2651	b2657	yqaC	yqaC		8 	1.8 	41 	22.9 	8.9 	su	conserved protein (pseudogene)	Cytoplasmic		51445; (Trans)glycosidases
JW1591	ECK1594	b1599	mdtI	mdtI	mtdI -!- ydgE	15 	3.9 	45 	11.7 	11.1 	t	multidrug efflux system transporter	Integral Membrane Protein		
JW2990	ECK3013	b3022	ygiU	ygiU		74 	2.0 	22 	11.2 	9.6 	pe	predicted cyanide hydratase	Cytoplasmic		
JW0222	ECK0233	b0232	yafN	yafN		57 	1.5 	17 	11.2 	7.4 	pf	predicted antitoxin of the YafO-YafN toxin-antitoxin system	Cytoplasmic		
JW3749	ECK3768	b3776	yifO	yifO		10 	4.4 	46 	10.7 	11.6 	o	conserved protein	Cytoplasmic		
JW5044	ECK0325	b0327	yahM	yahM		14 	3.8 	34 	8.9 	11.2 	o	predicted protein	Cytoplasmic		
JW2373	ECK2372	b2376	ypdI	ypdI		23 	1.2 	12 	10.2 	9.7 	lp	predicted lipoprotein involved in colanic acid biosynthesis	Outer Membrane Lipoprotein		
JW0225	ECK0236	b0235	ykfJ	ykfJ		17 	3.4 	34 	9.8 	10.6 	o	conserved protein	Cytoplasmic		
JW2590	ECK2606	b2609	rpsP	rpsP		109 	3.8 	35 	9.2 	11.3 	s	30S ribosomal subunit protein S16	Cytoplasmic	1P87	54565; Ribosomal protein S16
JW2648	ECK2667	b2673	nrdH	nrdH	ygaN	103 	4.7 	43 	9.1 	8.7 	pc	glutaredoxin-like protein	Cytoplasmic	1H75	52833; Thioredoxin-like
JW1635	ECK1639	b1643	ydhI	ydhI		44 	1.6 	15 	8.9 	8.7 	pm	predicted inner membrane protein	Integral Membrane Protein		
JW5596	ECK3785	b4481	rffT	rffT	rff -!- wecF -!- yifM	48 	0.5 	20 	40.6 	7.9 	e	TDP-Fuc4NAc:lipidII transferase	Cytoplasmic		
JW5080	ECK0548	b4510	rzoD	rzoD		147 	0.5 	3 	6.7 	10.5 	h	DLP12 prophage; predicted lipoprotein	Outer Membrane Lipoprotein		
JW1815	ECK1824	b1826	yobG	yobG		54 	3.0 	16 	5.5 	8.4 	o	predicted protein	Periplasmic		
JW5213	ECK1361	b4528	rzoR	rzoR		88 	0.6 	4 	6.8 	9.4 	h	Rac prophage; predicted lipoprotein	Outer Membrane Lipoprotein		
JW2096	ECK2102	b2109	yehB	yehB		6 	0.2 	21 	92.2 	6.1 	pm	predicted outer membrane protein	Outer Membrane B-barrel protein		
JW2105	ECK2109	b2118	yehI	yehI		17 	0.0 	5 	137.9 	6.4 	o	conserved protein	Cytoplasmic		
JW2108	ECK2112	b2120	yehM	yehM	yehN -!- yehO	10 	0.1 	9 	83.3 	5.8 	o	predicted protein	Cytoplasmic		
JW2120	ECK2125	b2132	bglX	bglX	glh -!- yohA	31 	0.7 	57 	83.4 	6.3 	e	"beta-D-glucoside glucohydrolase, periplasmic"	Periplasmic		"51445; (Trans)glycosidases -!- 52279; Beta-D-glucan exohydrolase, C-terminal domain"
JW5839	ECK2184	b2190	yejO	yejO		30 	0.1 	8 	88.4 	4.6 	pt	predicted autotransporter outer membrane protein	Cytoplasmic		51126; Pectin lyase-like
JW2204	ECK2209	b2216	rcsD	rcsD	yojN -!- yojP -!- yojQ	24 	0.1 	12 	100.2 	5.1 	r	phosphotransfer intermediate protein in two-component regulatory system with RcsBC	Membrane Anchored		"47226; Histidine-containing phosphotransfer domain, HPT domain -!- 55874; ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase"
JW2225	ECK2223	b2231	gyrA	gyrA	hisW -!- nalA -!- parD -!- nfxA -!- norA	49 	0.3 	32 	96.8 	5.0 	e	"DNA gyrase (type II topoisomerase), subunit A"	Cytoplasmic		56719; Type II DNA topoisomerase
JW2227	ECK2225	b2233	yfaL	yfaL	yfaF -!- yfaJ -!- yfaK	52 	0.1 	16 	130.9 	3.9 	f	adhesin	Periplasmic		51126; Pectin lyase-like
JW2228	ECK2226	b2234	nrdA	nrdA	dnaF	63 	0.3 	24 	85.7 	6.1 	e	"ribonucleoside diphosphate reductase 1, alpha subunit"	Cytoplasmic	3R1R	"48168; R1 subunit of ribonucleotide reductase, N-terminal domain -!- 51998; PFL-like glycyl radical enzymes"
JW2278	ECK2277	b2283	nuoG	nuoG		18 	0.5 	48 	100.4 	6.1 	c	"NADH:ubiquinone oxidoreductase, chain G"	Cytoplasmic		"50692; ADC-like -!- 53706; Formate dehydrogenase/DMSO reductase, domains 1-3 -!- 54292; 2Fe-2S ferredoxin-like -!- 54862; 4Fe-4S ferredoxins"
JW2380	ECK2379	b2383	ypdD	ypdD		39 	0.5 	44 	92.0 	5.3 	pt	fused predicted PTS enzymes Hpr component -!- enzyme I component -!- enzyme IIA component	Cytoplasmic		"47831; Enzyme I of the PEP:sugar phosphotransferase system HPr-binding (sub)domain -!- 51621; Phosphoenolpyruvate/pyruvate domain -!- 52009; Histidine-containing phosphotransfer domain, HPT domain -!- 55594; HPr-like -!- 55804; Phoshotransf"
JW2447	ECK2458	b2463	maeB	maeB	ypfF	81 	0.7 	56 	82.3 	5.6 	pe	fused malic enzyme predicted oxidoreductase -!- predicted phosphotransacetylase	Cytoplasmic		"51735; NAD(P)-binding Rossmann-fold domains -!- 53223; Aminoacid dehydrogenase-like, N-terminal domain"
JW5405	ECK2546	b2549	yphG	yphG		6 	0.1 	6 	123.7 	5.9 	d	conserved protein	Cytoplasmic		48452; TPR-like
JW2568	ECK2582	b2584	yfiQ	yfiQ		8 	0.4 	41 	97.9 	6.3 	pe	fused predicted acyl-CoA synthetase NAD(P)-binding subunit -!- ATP-binding subunit	Cytoplasmic		51735; NAD(P)-binding Rossmann-fold domains -!- 52210; Succinyl-CoA synthetase domains -!- 55729; Acyl-CoA N-acyltransferases (Nat) -!- 56059; Glutathione synthetase ATP-binding domain-like
JW2573	ECK2590	b2592	clpB	clpB	htpM	75 	1.5 	140 	95.5 	5.5 	f	protein disaggregation chaperone	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW2608	ECK2623	b2627	yfjK	yfjK		46 	0.1 	8 	83.0 	6.3 	h	CP4-57 prophage; conserved protein	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW2667	ECK2692	b2697	alaS	alaS	act -!- ala-act -!- lovB -!- ala-a	58 	0.2 	22 	95.9 	5.7 	e	alanyl-tRNA synthetase	Cytoplasmic		"55186; Threonyl-tRNA synthetase (ThrRS), second 'additional' domain"
JW5433	ECK2707	b2712	hypF	hypF	hydA	74 	0.0 	3 	82.0 	6.3 	e	carbamoyl phosphate phosphatase and maturation protein for [NiFe] hydrogenases	Cytoplasmic		"54975; Acylphosphatase -!- 55821; YrdC/RibB -!- 57850; RING finger domain, C3HC4"
JW2703	ECK2728	b2733	mutS	mutS	fdv -!- ant -!- plm	42 	0.3 	28 	95.1 	5.6 	e	methyl-directed mismatch repair protein	Cytoplasmic		"48334; DNA repair protein MutS, domain III -!- 52540; P-loop containing nucleotide triphosphate hydrolases -!- 53150; DNA repair protein MutS, domain II -!- 55271; DNA repair protein MutS, domain I"
JW2755	ECK2778	b2784	relA	relA	RC	76 	0.3 	25 	83.8 	6.6 	e	(p)ppGpp synthetase I/GTP pyrophosphokinase	Cytoplasmic		55021; Regulatory domain in the aminoacid metabolism -!- 55174; Alpha-L RNA-binding motif
JW2757	ECK2780	b2786	barA	barA		56 	0.1 	10 	102.3 	5.6 	r	"hybrid sensory histidine kinase, in two-component regulatory system with UvrY"	Integral Membrane Protein		"47384; Homodimeric domain of signal transducing histidine kinase -!- 55874; ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase -!- 47226; Histidine-containing phosphotransfer domain, HPT domain -!- 52172; CheY-like"
JW2789	ECK2817	b2821	ptr	ptr	ptrA	66 	0.2 	16 	107.6 	6.1 	e	protease III	Periplasmic		63411; LuxS/MPP-like metallohydrolase
JW2790	ECK2818	b2822	recC	recC		6 	0.1 	11 	128.7 	4.8 	e	"exonuclease V (RecBCD complex), gamma chain"	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW2797	ECK2825	b2829	ptsP	ptsP	ygdF -!- ygdO	9 	0.6 	50 	83.6 	5.9 	t	fused PEP-protein phosphotransferase (enzyme I) of PTS system	Cytoplasmic		"55781; GAF domain -!- 47831; Enzyme I of the PEP:sugar phosphotransferase system HPr-binding (sub)domain -!- 51621; Phosphoenolpyruvate/pyruvate domain -!- 52009; Histidine-containing phosphotransfer domain, HPT domain"
JW2804	ECK2832	b2836	aas	aas		7 	0.7 	53 	80.6 	9.8 	e	fused 2-acylglycerophospho-ethanolamine acyl transferase -!- acyl-acyl carrier protein synthetase	Integral Membrane Protein		56801; Firefly luciferase-like
JW5462	ECK2862	b2866	xdhA	xdhA	ygeS	12 	0.6 	47 	81.2 	6.2 	e	"xanthine dehydrogenase, molybdenum binding subunit"	Cytoplasmic		54665; CO dehydrogenase molybdoprotein N-domain-like -!- 56003; Molybdemum cofactor-binding domain
JW2849	ECK2877	b2881	xdhD	xdhD	ygfN	37 	0.1 	10 	103.4 	5.7 	pe	"fused predicted xanthine/hypoxanthine oxidase, molybdopterin-binding subunit -!- Fe-S binding subunit"	Cytoplasmic		54292; 2Fe-2S ferredoxin-like
JW2871	ECK2898	b2903	gcvP	gcvP		22 	0.5 	48 	104.3 	5.8 	e	"glycine decarboxylase, PLP-dependent, subunit (protein P) of glycine cleavage complex"	Cytoplasmic		53383; PLP-dependent transferases
JW5482	ECK2960	b2965	speC	speC		3 	0.6 	47 	79.3 	5.9 	e	"ornithine decarboxylase, constitutive"	Cytoplasmic		53383; PLP-dependent transferases -!- 55904; Ornithine decarboxylase C-terminal domain
JW2943	ECK2970	b2976	glcB	glcB	glc	49 	1.2 	94 	80.4 	6.1 	e	malate synthase G	Cytoplasmic	1P7T	51645; Malate synthase G
JW2987	ECK3010	b3019	parC	parC		18 	0.2 	15 	83.7 	6.7 	e	"DNA topoisomerase IV, subunit A"	Cytoplasmic		56719; Type II DNA topoisomerase
JW3025	ECK3043	b3053	glnE	glnE		57 	0.1 	8 	108.3 	5.0 	e	fused deadenylyltransferase -!- adenylyltransferase for glutamine synthetase	Cytoplasmic		
JW5511	ECK3066	b3076	ebgA	ebgA		22 	0.1 	8 	117.7 	5.4 	e	"cryptic beta-D-galactosidase, alpha subunit"	Cytoplasmic		49303; beta-Galactosidase/glucuronidase domain -!- 49785; Galactose-binding domain-like -!- 51445; (Trans)glycosidases
JW3051	ECK3070	b3080	ygjK	ygjK		22 	0.6 	53 	88.2 	6.2 	pe	predicted glycosyl hydrolase	Periplasmic		
JW5522	ECK3103	b3114	tdcE	tdcE	yhaS	17 	0.5 	44 	85.8 	5.8 	e	pyruvate formate-lyase 4/2-ketobutyrate formate-lyase	Cytoplasmic		51998; PFL-like glycyl radical enzymes
JW2101	ECK2107	b2114	metG	metG		50 	1.9 	148 	76.2 	5.9 	e	methionyl-tRNA synthetase	Cytoplasmic	1F4L	"47323; Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases -!- 50249; Nucleic acid-binding proteins -!- 52374; Nucleotidylyl transferase -!- 57770; Methionyl-tRNA synthetase (MetRS), Zn-domain"
JW2110	ECK2114	b2122	yehQ	yehQ		12 	0.6 	41 	67.7 	6.2 	d	predicted protein	Cytoplasmic		
JW5353	ECK2118	b2126	yehU	yehU		2 	0.9 	59 	62.0 	8.6 	pr	predicted sensory kinase in two-component system with YehT	Integral Membrane Protein		55874; ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase
JW2121	ECK2126	b2133	dld	dld	ldh	79 	0.8 	55 	64.6 	6.5 	e	"D-lactate dehydrogenase, FAD-binding, NADH independent"	Cytoplasmic	1F0X	"55103; FAD-linked oxidases, C-terminal domain -!- 56176; FAD-binding domain"
JW2142	ECK2148	b2155	cirA	cirA	feuA -!- cir	47 	0.4 	28 	73.8 	5.3 	m	ferric iron-catecholate outer membrane transporter	Outer Membrane B-barrel protein		56935; Porins
JW2154	ECK2160	b2167	fruA	fruA	ptsF	7 	1.7 	100 	57.5 	9.2 	t	fused fructose-specific PTS enzyme IIB'BC components	Integral Membrane Protein		
JW2165	ECK2171	b2177	yejA	yejA		20 	0.2 	15 	69.6 	9.3 	pt	predicted oligopeptide transporter subunit -!- periplasmic-binding component of ABC superfamily	Periplasmic		53850; Periplasmic binding protein-like II
JW2172	ECK2178	b2184	yejH	yejH	yejI -!- yejJ	26 	1.1 	73 	66.4 	7.7 	pe	predicted ATP-dependet helicase	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW2198	ECK2202	b2210	mqo	mqo	yojH	18 	1.0 	59 	60.2 	7.6 	e	"malate dehydrogenase, FAD/NAD(P)-binding domain"	Periplasmic		51905; FAD/NAD(P)-binding domain
JW2199	ECK2203	b2211	yojI	yojI	yojJ	18 	0.3 	19 	61.5 	7.6 	pt	fused predicted multidrug transport subunits -!- membrane component and ATP-binding component of ABC superfamily	Integral Membrane Protein		52540; P-loop containing nucleotide triphosphate hydrolases
JW2213	ECK2212	b2219	atoS	atoS		27 	0.1 	5 	67.7 	6.3 	r	sensory histidine kinase in two-component regulatory system with AtoC	Integral Membrane Protein		47384; Homodimeric domain of signal transducing histidine kinase -!- 55785; PYP-like sensor domain -!- 55874; ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase
JW2220	ECK2219	b2226	yfaQ	yfaQ		9 	0.8 	49 	61.4 	8.3 	o	predicted protein	Periplasmic		
JW2224	ECK2222	b2230	yfaA	yfaA	pufY	90 	0.1 	7 	62.6 	5.8 	o	predicted protein	Periplasmic		
JW2235	ECK2233	b2241	glpA	glpA		6 	2.7 	158 	58.9 	6.6 	e	"sn-glycerol-3-phosphate dehydrogenase (anaerobic), large subunit, FAD/NAD(P)-binding"	Cytoplasmic		"51905; FAD/NAD(P)-binding domain -!- 54373; FAD-linked reductases, C-terminal domain"
JW2249	ECK2248	b2255	yfbG	yfbG	arnA -!- pmrI -!- SAF	3 	0.4 	26 	74.2 	6.7 	e	fused UDP-L-Ara4N formyltransferase -!- UDP-GlcA C-4'-decarboxylase	Cytoplasmic		50486; FMT C-terminal domain-like -!- 53328; Formyltransferase -!- 51735; NAD(P)-binding Rossmann-fold domains
JW5374	ECK2258	b2264	menD	menD		4 	0.9 	53 	61.3 	6.5 	e	bifunctional 2-oxoglutarate decarboxylase -!- SHCHC synthase	Cytoplasmic		52518; Thiamin diphosphate-binding fold (THDP-binding)
JW2265	ECK2264	b2270	yfbK	yfbK		49 	0.8 	49 	63.6 	6.5 	d	conserved protein	Membrane Lipoprotein		53300; Integrin A (or I) domain
JW2294	ECK2291	b2297	pta	pta		54 	1.2 	96 	77.1 	5.6 	e	phosphate acetyltransferase	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW2309	ECK2306	b2312	purF	purF	adeub -!- purC -!- ade(ub)	16 	1.4 	76 	56.4 	5.7 	e	amidophosphoribosyltransferase	Cytoplasmic	1ECG	53271; PRTase-like -!- 56235; N-terminal nucleophile aminohydrolases (Ntn hydrolases)
JW5380	ECK2318	b2324	trmC	trmC	mnmC -!- yfcK	52 	0.4 	30 	74.3 	5.8 	e	fused 5-methylaminomethyl-2-thiouridine forming enzyme methyltransferase -!- FAD-dependent demodification enzyme	Cytoplasmic		51971; Nucleotide-binding domain
JW2335	ECK2332	b2338	yfcU	yfcU		48 	0.5 	35 	65.2 	4.8 	pf	predicted export usher protein	Periplasmic		
JW2338	ECK2335	b2341	yfcX	yfcX	fadJ	16 	0.5 	36 	77.0 	9.1 	e	"fused enoyl-CoA hydratase-!-epimerase-!-isomerase -!- 3-hydroxyacyl-CoA dehydrogenase, subunit of anaerobic fatty acid oxidation complex"	Cytoplasmic		52096; ClpP/crotonase -!- 48179; 6-phosphogluconate dehydrogenase C-terminal domain-like -!- 51735; NAD(P)-binding Rossmann-fold domains -!- 52096; ClpP/crotonase
JW2370	ECK2369	b2373	oxc	oxc	yfdU	22 	1.8 	107 	60.5 	6.1 	pe	predicted oxalyl-CoA decarboxylase	Cytoplasmic		52467; DHS-like NAD/FAD-binding domain -!- 52518; Thiamin diphosphate-binding fold (THDP-binding)
JW2403	ECK2406	b2411	ligA	ligA	dnaL -!- lig -!- pdeC -!- lop	59 	0.1 	5 	73.5 	5.6 	e	"DNA ligase, NAD(+)-dependent"	Cytoplasmic		"47781; RuvA domain 2-like -!- 50249; Nucleic acid-binding proteins -!- 52113; BRCT domain -!- 56091; DNA ligase/mRNA capping enzyme, catalytic domain"
JW2409	ECK2411	b2416	ptsI	ptsI	ctr	90 	0.5 	32 	63.5 	4.7 	t	PEP-protein phosphotransferase of PTS system (enzyme I)	Cytoplasmic		47831; Enzyme I of the PEP:sugar phosphotransferase system HPr-binding (sub)domain -!- 51621; Phosphoenolpyruvate/pyruvate domain -!- 52009; Phosphohistidine domain
JW2449	ECK2460	b2465	tktB	tktB		11 	0.9 	64 	73.0 	6.1 	e	"transketolase 2, thiamin-binding"	Cytoplasmic		52518; Thiamin diphosphate-binding fold (THDP-binding) -!- 52922; Transketolase C-terminal domain-like
JW2452	ECK2463	b2468	aegA	aegA	yffG	21 	0.9 	62 	71.8 	6.6 	pe	fused predicted FeS binding subunit -!- predicted NAD/FAD-binding subunit of oxidoreductase	Cytoplasmic		54862; 4Fe-4S ferredoxins -!- 51905; FAD/NAD(P)-binding domain -!- 51971; Nucleotide-binding domain -!- 54862; 4Fe-4S ferredoxins
JW2453	ECK2464	b2469	narQ	narQ		7 	0.4 	23 	63.6 	6.6 	r	sensory histidine kinase in two-component regulatory system with NarP (NarL)	Integral Membrane Protein		55874; ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase
JW2476	ECK2487	b2491	hyfR	hyfR		7 	0.6 	47 	75.2 	6.1 	r	"DNA-binding transcriptional activator, formate sensing"	Cytoplasmic		48283; FIS-like -!- 52540; P-loop containing nucleotide triphosphate hydrolases -!- 55781; GAF domain
JW2486	ECK2497	b2501	ppk	ppk		8 	0.2 	20 	80.4 	9.5 	e	"polyphosphate kinase, component of RNA degradosome"	Cytoplasmic		56024; Phospholipase D/nuclease
JW2487	ECK2498	b2502	ppx	ppx		47 	1.3 	77 	58.1 	7.2 	e	exopolyphosphatase	Cytoplasmic		
JW5401	ECK2504	b2508	guaB	guaB	guaR	49 	0.2 	10 	52.0 	6.5 	e	IMP dehydrogenase	Cytoplasmic		51412; Inosine monophosphate dehydrogenase (IMPDH) -!- 54631; CBS-domain
JW5403	ECK2507	b2511	der	der	engA -!- yfgK	66 	0.5 	30 	55.0 	6.1 	pf	predicted GTP-binding protein	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW2510	ECK2523	b2526	hscA	hscA	hsc	102 	0.8 	51 	65.6 	5.1 	f	DnaK-like molecular chaperone specific for IscU	Cytoplasmic		"53067; Actin-like ATPase domain -!- 56778; Heat shock protein 70kD (HSP70), C-terminal, substrate-binding fragment"
JW2531	ECK2544	b2547	yphE	yphE		5 	1.3 	73 	55.0 	6.0 	pt	fused predicted sugar transporter subunits -!- ATP-binding components of ABC superfamily	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases -!- 52540; P-loop containing nucleotide triphosphate hydrolases
JW2558	ECK2572	b2574	nadB	nadB	nic -!- nicB	20 	0.3 	17 	60.3 	6.2 	e	"quinolinate synthase, L-aspartate oxidase (B protein) subunit"	Cytoplasmic	1CHU	46977; Succinate dehydrogenase/fumarate reductase C-terminal domain -!- 51905; FAD/NAD(P)-binding domain -!- 56425; Succinate dehydrogenase/fumarate reductase catalytic domain
JW5416	ECK2612	b2616	recN	recN	radB	13 	0.8 	48 	61.3 	5.6 	cp	recombination and repair protein	Cytoplasmic		52540; P-loop containing nucleoside triphosphate hydrolases
JW2609	ECK2624	b2628	yfjL	yfjL		17 	0.3 	22 	61.9 	5.9 	h	CP4-57 prophage; predicted protein	Cytoplasmic		
JW2663	ECK2683	b2688	gshA	gshA	gsh-I -!- gshI	26 	0.4 	23 	58.2 	5.6 	e	gamma-glutamate-cysteine ligase	Cytoplasmic		
JW5429	ECK2697	b2702	srlA	srlA	gutA -!- sbl -!- srlA_1	17 	1.5 	32 	20.6 	8.8 	t	glucitol/sorbitol-specific enzyme IIC component of PTS	Integral Membrane Protein		
JW2691	ECK2716	b2721	hycE	hycE	hevE	7 	0.4 	28 	64.9 	6.6 	e	"hydrogenase 3, large subunit"	Cytoplasmic		"56762; Nickel-iron hydrogenase, large subunit"
JW2701	ECK2726	b2731	fhlA	fhlA	fhl	10 	0.3 	20 	78.4 	5.7 	r	DNA-binding transcriptional activator	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases -!- 55781; GAF domain
JW2730	ECK2755	b2760	ygcL	ygcL	ygcL	10 	0.3 	17 	55.9 	8.3 	o	predicted protein	Cytoplasmic		
JW2733	ECK2758	b2763	cysI	cysI	cysQ	38 	1.1 	73 	63.9 	7.8 	e	"sulfite reductase, beta subunit, NAD(P)-binding"	Cytoplasmic		"55124; Sulfite reductase, domains 1 and 3 -!- 56014; Sulfite reductase hemoprotein (SiRHP), domains 2 and 4"
JW2734	ECK2759	b2764	cysJ	cysJ	cysP	24 	0.7 	48 	66.2 	4.9 	e	"sulfite reductase, alpha subunit, flavoprotein"	Cytoplasmic		"52218; Flavoproteins -!- 52343; Ferredoxin reductase-like, C-terminal NADP-linked domain -!- 63380; Riboflavin synthase domain-like"
JW2751	ECK2774	b2780	pyrG	pyrG		77 	0.5 	31 	60.3 	6.0 	e	CTP synthetase	Cytoplasmic	1S1M	52317; Class I glutamine amidotransferase-like -!- 52540; P-loop containing nucleotide triphosphate hydrolases
JW2773	ECK2797	b2802	fucI	fucI		36 	0.4 	26 	64.9 	6.0 	e	L-fucose isomerase	Cytoplasmic	1FUI	"50443; L-fucose isomerase, C-terminal domain -!- 53743; L-fucose isomerase, N-terminal and second domains"
JW2787	ECK2815	b2819	recD	recD	hopE	15 	0.8 	54 	66.8 	7.0 	e	"exonuclease V (RecBCD complex), alpha chain"	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW2837	ECK2865	b2869	ygeV	ygeV		10 	0.6 	41 	66.0 	6.4 	pr	predicted DNA-binding transcriptional regulator	Cytoplasmic		48283; FIS-like -!- 52540; P-loop containing nucleotide triphosphate hydrolases -!- 55781; GAF domain -!- 55785; PYP-like sensor domain
JW2843	ECK2871	b2875	yqeB	yqeB		18 	1.1 	61 	57.6 	6.8 	d	conserved protein with NAD(P)-binding Rossman fold	Cytoplasmic		51230; Single hybrid motif -!- 51735; NAD(P)-binding Rossmann-fold domains
JW5469	ECK2882	b2887	ygfT	ygfT		25 	0.4 	29 	69.0 	6.3 	pe	fused predicted oxidoreductase Fe-S subunit -!- nucleotide-binding subunit	Cytoplasmic		54862; 4Fe-4S ferredoxins -!- 51971; Nucleotide-binding domain
JW2884	ECK2913	b2917	yliK	yliK	sbm	17 	0.4 	35 	77.8 	5.1 	e	methylmalonyl-CoA mutase	Cytoplasmic		51703; Cobalamin (vitamin B12)-dependent enzymes -!- 52242; Cobalamin (vitamin B12)-binding domain
JW5478	ECK2930	b2935	tktA	tktA	tkt	32 	0.6 	45 	72.1 	5.7 	e	"transketolase 1, thiamin-binding"	Cytoplasmic	1QGD	52518; Thiamin diphosphate-binding fold (THDP-binding) -!- 52922; Transketolase C-terminal domain-like
